"drug_id","spec","qty","rule_key","pre_tc","note"
左卡尼汀注射液,"5ml:2g*5支",5,左卡尼汀注射液,,
左氧氟沙星氯化钠注射液,"100ml:0.5g:0.9g",100,左氧氟沙星氯化钠注射液,,
左氧氟沙星片,"0.5g*7片",7,左氧氟沙星片,,
左甲状腺素钠片,"50ug*100片",100,左甲状腺素钠片(优甲乐),,
左甲状腺素钠片(优甲乐),"50ug*100片",100,左甲状腺素钠片,,
布洛芬缓释胶囊,"0.3g*24粒/盒",24,布洛芬缓释胶囊,,
帕立骨化醇注射液,"1ml:5μg",5,帕立骨化醇注射液,,
开塞露,"20ml",20,开塞露,,
开塞露(含甘油),"20ml",20,开塞露(含甘油),,
恩格列净片,"10mg*10片",10,恩格列净片,,
感冒清片,"0.22g*100片",100,感冒清片,,
拉莫三嗪片,"25mg*48片",48,拉莫三嗪片,,
普瑞巴林胶囊,"75mg*20粒",20,普瑞巴林胶囊,,
替米沙坦片,"40mg*28片",28,替米沙坦片,,
枸橼酸喷托维林片,"25mg*100片",100,枸橼酸喷托维林片,,
枸橼酸坦度螺酮片,"10mg*63片",63,枸橼酸坦度螺酮片,,
柴胡注射液,"2ml*10支",10,柴胡注射液,,
格列美脲片,"2mg*60片",60,格列美脲片,,
格列齐特缓释片,"30mg*60片",60,格列齐特缓释片,,
桉柠蒎肠溶胶囊,"0.12g*18粒",18,桉柠蒎肠溶胶囊（儿童）,,
桉柠蒎肠溶胶囊,"0.3g*18粒",18,桉柠蒎肠溶胶囊（成人）,,
桉柠蒎肠溶胶囊（儿童）,"0.12g*18粒",18,桉柠蒎肠溶胶囊,,
桉柠蒎肠溶胶囊（成人）,"0.3g*18粒",18,桉柠蒎肠溶胶囊,,
氟康唑片,"50mg*30片",30,氟康唑片,,
氢氯噻嗪片,"25mg*100片",100,氢氯噻嗪片(双克),,
氢溴酸山莨菪碱注射液,"1ml：10mg（2支/盒）",2,氢溴酸山莨菪碱注射液,,
氨甲环酸注射液,"5ml：0.25g*5支",5,氨甲环酸注射液,,
氨茶碱注射液,"10ml:0.25g*5支",5,氨茶碱注射液,,
氨酚曲马多片,"37.5mg盐酸曲马多，325mg对乙酰氨基酚*12片",12,氨酚曲马多片,,
氯化钾注射液,"10ml:1.5g*50支",50,氯化钾注射液,,
氯化钾缓释片,"0.5g*24片",24,氯化钾缓释片,,
氯硝西泮片,"2mg*100片",100,氯硝西泮片,,
氯膦酸二钠注射液,"5ml:0.3g",5,氯膦酸二钠注射液（老）,,
氯膦酸二钠注射液,"5ml:0.3g*5支",5,氯膦酸二钠注射液（多）,,
氯雷他定片,"10mg*10片",10,氯雷他定片,,
水飞蓟宾胶囊,"35mg*30粒",30,水飞蓟宾胶囊,,
沙库巴曲缬沙坦钠片,"100mg*14片/盒",14,沙库巴曲缬沙坦钠片,,
